,-333,-222,-13,-11,0,1,2,10,11
-999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-13,8.5,0.5,203.5,32.0,19.5,46.5,12.5,24.5,13.5
-11,6.0,0.5,33.0,194.0,20.0,65.0,16.5,16.0,12.0
-1,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0
0,5.0,0.5,21.0,26.5,102.0,54.0,8.0,25.5,6.5
1,7.5,3.0,42.0,49.0,36.0,286.0,27.0,32.0,33.5
2,0.5,0.0,13.0,19.5,6.0,55.0,39.5,10.0,16.5
3,0.5,0.5,2.0,3.0,0.5,3.5,10.0,2.0,5.0
4,0.0,0.0,0.5,0.0,0.5,0.5,1.5,0.5,0.5
10,2.5,0.5,20.0,13.5,9.5,34.5,7.5,103.5,20.5
11,3.5,0.5,6.0,6.5,2.5,15.0,5.5,19.0,38.5
12,0.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,2.5
