,-333,-222,-13,-11,0,1,2,10,11
-999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-13,10.5,1.0,0.0,9.0,1.5,5.5,0.0,1.0,0.5
-11,8.0,0.0,6.0,0.0,1.5,21.5,1.5,0.5,1.0
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0
0,5.0,1.0,4.0,6.5,0.0,28.0,5.5,17.0,3.0
1,5.5,3.5,0.0,5.5,15.0,0.0,26.0,11.5,20.0
2,1.0,0.0,0.0,0.0,0.0,64.0,0.0,2.0,18.0
3,1.0,0.5,0.0,0.0,0.0,2.0,16.5,0.5,6.5
4,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
10,1.5,0.0,0.0,0.5,0.0,7.0,0.5,0.0,26.5
11,1.5,0.0,0.0,0.5,0.0,3.0,1.0,23.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,4.5
