,-20,-13,-11,-1,0,1,2,3,4,5,10,11,12,13,14
-13,0.0,599.0,1.0,59.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11,0.0,0.0,578.0,111.0,12.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,38.0,6.0,6.0,41.0,374.0,14.0,7.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
1,39.0,12.0,36.0,102.0,21.0,755.0,81.0,9.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
2,6.0,1.0,12.0,33.0,2.0,23.0,209.0,14.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0
3,2.0,1.0,2.0,6.0,0.0,0.0,7.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,43.0,8.0,25.0,124.0,5.0,4.0,0.0,0.0,0.0,0.0,199.0,17.0,4.0,5.0,0.0
11,21.0,1.0,14.0,53.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,73.0,11.0,2.0,0.0
12,1.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
