,-333,-222,-13,-11,0,1,2,10,11
-13,210.0,30.0,9548.0,171.0,169.0,217.0,3.0,17.0,7.0
-11,255.0,36.0,172.0,9452.0,116.0,594.0,10.0,3.0,1.0
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,16.0
0,72.0,11.0,194.0,178.0,5597.0,967.0,80.0,377.0,149.0
1,159.0,37.0,18.0,207.0,357.0,13240.0,950.0,337.0,662.0
2,45.0,15.0,2.0,29.0,16.0,2254.0,2733.0,54.0,577.0
3,2.0,1.0,0.0,2.0,0.0,65.0,391.0,2.0,144.0
4,0.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,20.0
10,5.0,13.0,2.0,11.0,18.0,141.0,18.0,4627.0,1003.0
11,6.0,7.0,1.0,5.0,4.0,93.0,37.0,867.0,1810.0
12,1.0,0.0,0.0,0.0,0.0,5.0,9.0,23.0,244.0
