,-20,-13,-11,-2,-1,0,1,2,3,4,5,10,11,12,13,14,15,16,17
-13,5.0,9764.0,29.0,421.0,2.0,138.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11,6.0,96.0,9197.0,849.0,26.0,273.0,158.0,25.0,4.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
-1,1.0,2.0,5.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,302.0,153.0,213.0,320.0,364.0,5795.0,248.0,56.0,8.0,2.0,2.0,79.0,47.0,19.0,13.0,2.0,1.0,0.0,1.0
1,466.0,402.0,971.0,492.0,1294.0,433.0,10384.0,1236.0,84.0,24.0,3.0,13.0,88.0,55.0,14.0,2.0,5.0,1.0,0.0
2,170.0,130.0,435.0,138.0,555.0,45.0,473.0,3206.0,486.0,14.0,3.0,3.0,15.0,34.0,15.0,2.0,1.0,0.0,0.0
3,24.0,11.0,50.0,11.0,74.0,5.0,12.0,87.0,284.0,35.0,2.0,0.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0
4,2.0,0.0,3.0,2.0,6.0,0.0,0.0,1.0,16.0,24.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,177.0,106.0,179.0,81.0,2349.0,160.0,30.0,7.0,1.0,0.0,0.0,2495.0,203.0,35.0,10.0,4.0,1.0,0.0,0.0
11,87.0,36.0,128.0,29.0,1138.0,11.0,58.0,9.0,0.0,1.0,0.0,46.0,1132.0,135.0,15.0,5.0,0.0,0.0,0.0
12,13.0,3.0,15.0,1.0,119.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,15.0,97.0,10.0,2.0,0.0,0.0,0.0
