tau1,tau2,num-tau1,num-tau2,id-tau1,id-tau2
11,0,5,8,10,-333
11,1,6,2,11,1
1,1,2,2,1,1
11,11,6,6,11,11
-11,-11,0,0,-11,-11
-11,0,0,3,-11,0
-13,1,1,2,-13,1
-11,1,2,2,1,1
-11,0,0,3,-11,0
2,11,2,5,1,10
-11,-13,0,1,-11,-13
-11,1,0,2,-11,1
-11,-11,0,0,-11,-11
1,0,2,3,1,0
2,1,2,2,1,1
1,-11,2,0,1,-11
1,-11,2,0,1,-11
-11,1,0,2,-11,1
-11,1,0,2,-11,1
1,-13,5,1,10,-13
-13,0,1,3,-13,0
-13,2,1,4,-13,2
2,-13,2,1,1,-13
2,11,4,5,2,10
1,0,2,8,1,-333
0,-13,3,1,0,-13
-11,2,0,2,-11,1
-11,1,0,2,-11,1
-11,-13,2,1,1,-13
11,-11,6,0,11,-11
1,-13,4,1,2,-13
1,0,2,3,1,0
-11,1,0,2,-11,1
-13,11,1,5,-13,10
10,-13,5,8,10,-333
2,1,4,2,2,1
10,0,5,3,10,0
2,1,2,2,1,1
0,0,3,3,0,0
-13,1,1,2,-13,1
0,-13,3,1,0,-13
-13,1,1,2,-13,1
0,-11,3,0,0,-11
1,10,2,5,1,10
0,10,2,5,1,10
-11,0,0,3,-11,0
-13,-13,1,1,-13,-13
3,-13,4,1,2,-13
11,1,6,2,11,1
1,1,4,6,2,11
1,2,2,2,1,1
1,-11,2,0,1,-11
-13,1,1,2,-13,1
1,1,2,2,1,1
-11,10,0,5,-11,10
2,1,2,4,1,2
0,1,1,2,-13,1
-13,0,1,8,-13,-333
1,10,7,5,-222,10
0,-13,3,1,0,-13
0,2,3,4,0,2
0,-13,2,1,1,-13
0,2,3,4,0,2
-13,1,1,2,-13,1
-13,0,1,3,-13,0
1,0,2,3,1,0
0,-11,3,2,0,1
0,10,4,5,2,10
0,1,0,8,-11,-333
-11,1,0,2,-11,1
-13,10,1,5,-13,10
-11,10,8,5,-333,10
2,1,4,6,2,11
1,1,3,0,0,-11
2,0,2,3,1,0
1,0,2,8,1,-333
2,1,4,6,2,11
10,1,5,2,10,1
0,-13,3,1,0,-13
0,2,3,4,0,2
1,10,2,6,1,11
-13,2,1,4,-13,2
-13,1,1,2,-13,1
0,-13,3,1,0,-13
2,-13,2,1,1,-13
0,0,3,3,0,0
1,1,2,2,1,1
-13,-11,1,2,-13,1
11,10,5,5,10,10
1,2,2,4,1,2
-13,0,1,3,-13,0
10,-13,5,1,10,-13
2,1,2,2,1,1
1,2,8,2,-333,1
11,3,6,4,11,2
0,-13,2,1,1,-13
-11,1,3,6,0,11
1,10,2,5,1,10
-11,2,0,2,-11,1
-13,1,1,5,-13,10
0,2,3,4,0,2
-11,1,0,4,-11,2
11,-11,6,0,11,-11
1,-11,2,0,1,-11
2,-11,4,0,2,-11
2,0,6,3,11,0
0,2,3,6,0,11
10,-13,5,1,10,-13
2,10,4,5,2,10
2,-13,2,1,1,-13
0,0,4,5,2,10
1,-11,2,0,1,-11
10,10,5,5,10,10
-11,10,2,5,1,10
0,1,0,2,-11,1
4,10,6,5,11,10
-11,-11,0,0,-11,-11
10,-11,5,0,10,-11
1,2,2,6,1,11
-11,1,2,4,1,2
-13,-11,1,0,-13,-11
10,2,5,4,10,2
-11,11,0,6,-11,11
12,1,6,2,11,1
-11,1,0,4,-11,2
-11,1,0,2,-11,1
1,0,5,3,10,0
1,1,2,2,1,1
1,-11,2,0,1,-11
11,-13,2,1,1,-13
3,1,6,2,11,1
-11,10,0,5,-11,10
1,-11,2,0,1,-11
-13,1,1,4,-13,2
-13,-11,1,0,-13,-11
