tau1,tau2,id-tau1,id-tau2
1,11,1,-11
-11,11,-11,-11
1,11,1,-20
-13,-13,-1,-13
1,-13,1,-13
-13,-11,-13,-11
10,0,-20,0
-13,-11,-1,-11
-11,11,-11,-1
0,-13,-20,-13
-11,-11,-11,-11
-11,0,-11,0
-13,0,-13,0
1,-13,1,-13
1,-13,1,-13
1,1,-1,1
-13,0,-13,0
0,0,-1,0
1,-11,-1,-11
-11,-11,-11,-1
1,1,1,1
10,1,10,1
-11,10,-11,-1
0,3,0,-1
1,1,1,1
-11,-13,-11,-13
1,1,1,1
1,2,1,2
1,-11,1,-11
-11,-13,-11,-13
1,1,1,1
0,11,0,-1
1,1,1,1
10,1,-1,1
-13,-11,-13,1
10,-13,-11,-13
2,-11,2,-11
2,0,2,0
11,-11,-20,-11
0,1,0,1
-11,2,-1,1
1,-11,1,-11
0,1,0,1
10,-11,-1,-11
-13,-13,-13,-13
-13,1,-13,1
-11,10,-11,10
0,-11,0,-11
1,1,1,1
0,1,0,1
12,10,12,10
1,-11,1,-11
2,10,2,10
-11,1,-1,-1
-13,11,-13,11
-13,10,-1,-1
10,-11,10,-11
11,11,-1,11
1,0,-20,0
1,1,1,1
1,0,1,0
-11,1,-11,1
0,2,0,-1
2,0,1,0
10,1,10,-1
0,-11,-1,-1
0,2,0,1
-11,-13,-11,0
-11,2,-11,2
10,10,10,-1
1,1,-1,1
-13,2,-13,2
2,-11,2,-1
1,0,1,0
1,0,1,0
-11,0,-1,-1
1,-11,1,-11
-11,0,-11,-20
10,2,11,2
1,-11,2,-11
1,0,1,0
